Position,Company,Location,URL
[선행기술원] Virtual 검증_HILS 분야[책임연구원], 현대자동차그룹, 성남 판교역, https://kr.indeed.com/rc/clk?jk=ed3c88778977c020&fccid=980d6ecc399a3373&vjs=3
2022년 상반기 백엔드 개발자, 반달소프트, 성남 분당구, https://kr.indeed.com/rc/clk?jk=1601f1bfe3302af5&fccid=f35f7fc5e918087a&vjs=3
패션고 추천모델링 연구 개발, NHN FashionGo korea, 성남 판교역, https://kr.indeed.com/rc/clk?jk=e13c32ba4eff23da&fccid=a72ebaf825acf7af&vjs=3
신입 및 경력직원, 한국자산평가, 대한민국, https://kr.indeed.com/rc/clk?jk=bc43a36fef870b9a&fccid=413114278f3d6174&vjs=3
기술 인턴 인공지능 응용 연구/개발 인턴, 써로마인드로보틱스, 서울 관악구, https://kr.indeed.com/rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3
2022년 하반기 신입사원 (IT 시스템 개발/운영), SK텔링크, 서울 중구, https://kr.indeed.com/rc/clk?jk=ec83e01319142847&fccid=2b8496d6944f9429&vjs=3
Wi-Fi 소프트웨어 엔지니어 (신입/경력), 인피니언코리아, 성남 분당구, https://kr.indeed.com/rc/clk?jk=acf2807bdb4705cb&fccid=50debe8434cd12fc&vjs=3
2022년 하반기 신입사원 (Network 기획/운용), SK텔링크, 서울 중구, https://kr.indeed.com/rc/clk?jk=8fc69fd4984a234e&fccid=2b8496d6944f9429&vjs=3
Python 기반 빅데이터분석가, 이노포스트 관심기업, 서울 방배동, https://kr.indeed.com/rc/clk?jk=9a9bd236f2d05ff3&fccid=fef732c91b3e25e1&vjs=3
[커넥트센터] AICC 개발 엔지니어 영입, 카카오엔터프라이즈, 성남 분당구, https://kr.indeed.com/rc/clk?jk=7cc738fa469f3074&fccid=e19aa33fc391b310&vjs=3
Technical Consultant, Veeva Systems, 경기도, https://kr.indeed.com/rc/clk?jk=d1dd8d47fe59b61c&fccid=353eb997fc901045&vjs=3
[Secruity] 시스템보안 엔지니어, 한국카카오은행, 성남 분당구, https://kr.indeed.com/rc/clk?jk=0a883a0f97b05b13&fccid=aea6a13a3459fdb2&vjs=3
인공지능(딥러닝) 로봇 자동화 소프트웨어 개발자(Python우대), 주식회사 토트 관심기업, 서울 성수동1가, https://kr.indeed.com/rc/clk?jk=058e9510f9548e49&fccid=bc605d141ca9f67d&vjs=3
[INEEJI] (주)인이지 (AI연구소  기술컨설팅팀), 인이지, 성남 분당구, https://kr.indeed.com/rc/clk?jk=7ebd9ec07ebad817&fccid=8a0714879bbe4b76&vjs=3
[데이터 프로덕트] 데이터 엔지니어 모집, 카카오, 성남 판교역, https://kr.indeed.com/rc/clk?jk=f94fd2fd0e93cb5c&fccid=32b9af632cf3b9f9&vjs=3
응용프로그램개발 인공지능(AI) 머신러닝 Python TensorFlow, (주)에이아이시스템즈 관심기업, 서울 역삼동, https://kr.indeed.com/rc/clk?jk=eb926fc0cbbd16d1&fccid=d00257bfae22eecd&vjs=3
데이터 전문가(모델러/분석가/엔지니어) 모집, 카카오, 성남 판교역, https://kr.indeed.com/rc/clk?jk=ac9068957c550cb3&fccid=32b9af632cf3b9f9&vjs=3
SW개발자 신입, 컨트롤웍스, 서울 강남구, https://kr.indeed.com/rc/clk?jk=ebbb216954057257&fccid=b9a4c1a753f43642&vjs=3
Quantitative Research Intern, WorldQuant, 서울, https://kr.indeed.com/rc/clk?jk=679e7e7466c71a3e&fccid=08487f979320ebae&vjs=3
네이버 파이낸셜 플랫폼 운영, NIT Service, 성남 서현동, https://kr.indeed.com/rc/clk?jk=807cfa585cf72eec&fccid=f85375bceacb7147&vjs=3
[선행기술원] Quantum Information[책임연구원], 현대자동차그룹, 성남 판교역, https://kr.indeed.com/rc/clk?jk=4ff25d50f3f66d7c&fccid=980d6ecc399a3373&vjs=3
자동화제어-생산기술 (울산공장)[신입], 현대자동차그룹, 대한민국, https://kr.indeed.com/rc/clk?jk=cd18e093d34e0832&fccid=980d6ecc399a3373&vjs=3
[TmaxGroup/OS] OS 연구원, 티맥스소프트, 성남 분당구, https://kr.indeed.com/rc/clk?jk=a233a732dd447085&fccid=445576e2a7ced0d6&vjs=3
Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack), OpenCraft, Anywhere in the World, https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
(Senior) Python Full Stack Software Developer, Optimile, Europe Only, https://weworkremotely.com/remote-jobs/optimile-senior-python-full-stack-software-developer
Python / PHP Senior Developer for Ambitious Startup, Soundsnap/ Beatopia, Europe Only, https://weworkremotely.com/remote-jobs/soundsnap-beatopia-python-php-senior-developer-for-ambitious-startup
Senior Software Engineer  Python, AssemblyAI (YC 17), Anywhere in the World, https://weworkremotely.com/remote-jobs/assemblyai-yc-17-senior-software-engineer-python
Senior Backend Engineer - Python, TheoremOne  LLC, Anywhere in the World, https://weworkremotely.com/remote-jobs/theoremone-llc-senior-backend-engineer-python
